Text,Label,Source,Sentiment,Predicted_Sentiment,Sentiment_Score
I didn't think that the instructions provided were helpful to me.,0,Amazon,Negative,Positive,0.4215
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,Amazon,Negative,Neutral,0.0
Doesn't hold charge.,0,Amazon,Negative,Neutral,0.0
"This is a simple little phone to use, but the breakage is unacceptible.",0,Amazon,Negative,Neutral,0.0
This product is ideal for people like me whose ears are very sensitive.,1,Amazon,Positive,Positive,0.7096
It is unusable in a moving car at freeway speed.,0,Amazon,Negative,Positive,0.0516
I have two more years left in this contract and I hate this phone.,0,Amazon,Negative,Negative,-0.5719
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,Amazon,Positive,Positive,0.6369
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,Amazon,Negative,Neutral,0.0
It has kept up very well.,1,Amazon,Positive,Positive,0.3384
Poor Talk Time Performance.,0,Amazon,Negative,Negative,-0.4767
The case is great and works fine with the 680.,1,Amazon,Positive,Positive,0.7096
worthless product.,0,Amazon,Negative,Negative,-0.4404
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,Amazon,Positive,Positive,0.9274
I was not impressed by this product.,0,Amazon,Negative,Negative,-0.3724
Nice headset priced right.,1,Amazon,Positive,Positive,0.4215
I only hear garbage for audio.,0,Amazon,Negative,Neutral,0.0
Excellent bluetooth headset.,1,Amazon,Positive,Positive,0.5719
It has all the features I want,1,Amazon,Positive,Positive,0.0772
Who in their right mind is gonna buy this battery?.,0,Amazon,Negative,Neutral,0.0
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,Amazon,Negative,Negative,-0.4588
This case seems well made.,1,Amazon,Positive,Positive,0.2732
Disappointed with battery.,0,Amazon,Negative,Negative,-0.4767
Not loud enough and doesn't turn on like it should.,0,Amazon,Negative,Negative,-0.2755
good protection and does not make phone too bulky.,1,Amazon,Positive,Positive,0.4404
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,Amazon,Positive,Positive,0.7096
This phone is pretty sturdy and I've never had any large problems with it.,1,Amazon,Positive,Positive,0.128
I love this thing!,1,Amazon,Positive,Positive,0.6696
Everything about it is fine and reasonable for the price i.e.,1,Amazon,Positive,Positive,0.2023
VERY DISAPPOINTED.,0,Amazon,Negative,Negative,-0.5256
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,Amazon,Positive,Positive,0.6588
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,Amazon,Positive,Positive,0.6724
The buttons for on and off are bad.,0,Amazon,Negative,Negative,-0.5423
Essentially you can forget Microsoft's tech support.,0,Amazon,Negative,Positive,0.2023
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,Amazon,Positive,Positive,0.8901
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,Amazon,Positive,Positive,0.8225
Buy a different phone - but not this.,0,Amazon,Negative,Neutral,0.0
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,Amazon,Negative,Positive,0.6597
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,Amazon,Negative,Neutral,0.0
"A week later after I activated it, it suddenly died.",0,Amazon,Negative,Negative,-0.5574
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,Amazon,Positive,Positive,0.5563
Great for iPODs too.,1,Amazon,Positive,Positive,0.6249
This device is great in several situations:1.),1,Amazon,Positive,Positive,0.6249
Mic Doesn't work.,0,Amazon,Negative,Neutral,0.0
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,Amazon,Negative,Negative,-0.4019
Great choice!,1,Amazon,Positive,Positive,0.6588
Nice docking station for home or work.,1,Amazon,Positive,Positive,0.4215
This is a beautiful phone.,1,Amazon,Positive,Positive,0.5994
Love this product.,1,Amazon,Positive,Positive,0.6369
Do Not Buy for D807...wrongly advertised for D807.,0,Amazon,Negative,Neutral,0.0
This is a great little item.,1,Amazon,Positive,Positive,0.6249
"I love this phone , It is very handy and has a lot of features .",1,Amazon,Positive,Positive,0.6369
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,Amazon,Negative,Negative,-0.5216
I wear it everyday and it holds up very well.,1,Amazon,Positive,Positive,0.3384
Not a good bargain.,0,Amazon,Negative,Negative,-0.4585
"Well packaged, arrived on time, and works as intended.",1,Amazon,Positive,Positive,0.2732
The battery runs down quickly.,0,Amazon,Negative,Neutral,0.0
"This item worked great, but it broke after 6 months of use.",0,Amazon,Negative,Negative,-0.2846
The headsets are easy to use and everyone loves them.,1,Amazon,Positive,Positive,0.765
This phone works great.,1,Amazon,Positive,Positive,0.6249
The construction of the headsets is poor.,0,Amazon,Negative,Negative,-0.4767
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,Amazon,Positive,Positive,0.784
The phone loads super!,1,Amazon,Positive,Positive,0.636
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,Amazon,Negative,Positive,0.7845
Made very sturdy.,1,Amazon,Positive,Neutral,0.0
Worked great!.,1,Amazon,Positive,Positive,0.6588
The ear buds only play music in one ear.,0,Amazon,Negative,Positive,0.34
Dont waste your money...,0,Amazon,Negative,Positive,0.3252
Will order from them again!,1,Amazon,Positive,Neutral,0.0
If you plan to use this in a car forget about it.,0,Amazon,Negative,Negative,-0.2263
I found this product to be waaay too big.,0,Amazon,Negative,Neutral,0.0
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,Amazon,Positive,Positive,0.9186
I'm very disappointed with my decision.,0,Amazon,Negative,Negative,-0.5256
Integrated seamlessly with the Motorola RAZR phone.,1,Amazon,Positive,Neutral,0.0
"Buyer Beware, you could flush money right down the toilet.",0,Amazon,Negative,Neutral,0.0
Definitely a bargain.,1,Amazon,Positive,Positive,0.5423
The price was very good and with the free shipping and all it was a good purchase.,1,Amazon,Positive,Positive,0.8553
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,Amazon,Negative,Neutral,0.0
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,Amazon,Positive,Positive,0.7841
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,Amazon,Negative,Positive,0.3182
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,Amazon,Positive,Positive,0.9538
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,Amazon,Negative,Positive,0.6597
I purcashed this for the car charger and it does not work.,0,Amazon,Negative,Neutral,0.0
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,Amazon,Positive,Positive,0.6114
This phone is slim and light and the display is beautiful.,1,Amazon,Positive,Positive,0.5994
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,Amazon,Positive,Neutral,-0.0396
"Great product, fast shipping!.",1,Amazon,Positive,Positive,0.6588
Absolutely great.,1,Amazon,Positive,Positive,0.659
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,Amazon,Positive,Positive,0.4767
i got this phone around the end of may and i'm completely unhappy with it.,0,Amazon,Negative,Negative,-0.4754
It is very comfortable on the ear.,1,Amazon,Positive,Positive,0.5563
It has been a winner for us.,1,Amazon,Positive,Positive,0.5859
)Setup couldn't have been simpler.,1,Amazon,Positive,Neutral,0.0
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,Amazon,Positive,Positive,0.4215
Could not get strong enough signal.,0,Amazon,Negative,Negative,-0.4023
Iam very pleased with my purchase.,1,Amazon,Positive,Positive,0.4927
Bad Quality.,0,Amazon,Negative,Negative,-0.5423
Gets the job done.,1,Amazon,Positive,Neutral,0.0
Great audio!.,1,Amazon,Positive,Positive,0.6588
Basically the service was very bad.,0,Amazon,Negative,Negative,-0.5849
it did not work in my cell phone plug i am very up set with the charger!.,0,Amazon,Negative,Neutral,0.0
"I've only had my bluetooth for a few weeks, but I really like it.",1,Amazon,Positive,Positive,0.5704
The BT headset was such a disapoinment.,0,Amazon,Negative,Neutral,0.0
It is so small and you don't even realize that it is there after a while of getting used to it.,1,Amazon,Positive,Neutral,0.0
The accompanied software is almost brilliant.,1,Amazon,Positive,Positive,0.5434
Headset works great & was packaged nicely to avoid any damage.,1,Amazon,Positive,Positive,0.3818
!I definitly recommend!!,1,Amazon,Positive,Positive,0.5229
Buyer--Be Very Careful!!!!!.,0,Amazon,Negative,Positive,0.4698
The majority of the Logitech earbud headsets failed.,0,Amazon,Negative,Negative,-0.5106
Very good stuff for the price.,1,Amazon,Positive,Positive,0.4927
My headset works just peachy-keen.,1,Amazon,Positive,Neutral,0.0
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,Amazon,Negative,Negative,-0.296
Voice recognition is tremendous!,1,Amazon,Positive,Neutral,0.0
What a waste.,0,Amazon,Negative,Negative,-0.4215
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,Amazon,Negative,Neutral,0.0
I was not happy with this item.,0,Amazon,Negative,Negative,-0.4585
very disappointed.,0,Amazon,Negative,Negative,-0.5256
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,Amazon,Negative,Positive,0.3612
I got this phone on reccomendation from a relative and I'm glad I did.,1,Amazon,Positive,Positive,0.4588
What a waste of time!,0,Amazon,Negative,Negative,-0.4753
Its reception is very very poor.,0,Amazon,Negative,Negative,-0.5678
Items stated as included from the description ARE NOT INCLUDED.,0,Amazon,Negative,Neutral,0.0
"After 3 months, screen just went black all of a sudden.",0,Amazon,Negative,Neutral,0.0
I Was Hoping for More.,0,Amazon,Negative,Positive,0.4215
"Audio Quality is poor, very poor.",0,Amazon,Negative,Negative,-0.7574
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,Amazon,Positive,Positive,0.4804
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,Amazon,Positive,Positive,0.8968
I've bought $5 wired headphones that sound better than these.,0,Amazon,Negative,Positive,0.4404
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,Amazon,Positive,Neutral,0.0
"Nice quality build, unlike some cheap s*** out there.",1,Amazon,Positive,Positive,0.4215
This item is fantastic and works perfectly!,1,Amazon,Positive,Positive,0.8439
And I just love the colors!,1,Amazon,Positive,Positive,0.6696
W810i is just SUPERB.,1,Amazon,Positive,Positive,0.7034
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,Amazon,Negative,Negative,-0.0717
Great charger.,1,Amazon,Positive,Positive,0.6249
This is essentially a communications tool that does not communicate.,0,Amazon,Negative,Neutral,0.0
Works like a charm; it work the same as the one I got with the phone.,1,Amazon,Positive,Positive,0.6369
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,Amazon,Negative,Negative,-0.2235
Great Value.,1,Amazon,Positive,Positive,0.7579
Doesn't work at all.. I bougth it for my L7c and its not working.,0,Amazon,Negative,Neutral,0.0
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,Amazon,Positive,Positive,0.8591
doesn't last long.,0,Amazon,Negative,Neutral,0.0
One thing I hate is the mode set button at the side.,0,Amazon,Negative,Negative,-0.5719
EXCELLENT SERVICE!!!!!!!!.,1,Amazon,Positive,Positive,0.7067
Thank you for wasting my money.,0,Amazon,Negative,Negative,-0.0516
How can that be?The audio quality is poor.,0,Amazon,Negative,Negative,-0.4767
The iGo chargers and tips are really great.,1,Amazon,Positive,Positive,0.659
The file browser offers all the options that one needs.Handsfree is great.,1,Amazon,Positive,Positive,0.6249
Superb Phone on a Great Network.,1,Amazon,Positive,Positive,0.8481
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,Amazon,Positive,Positive,0.6369
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,Amazon,Negative,Positive,0.4215
It only recognizes the Phone as its storage device.,0,Amazon,Negative,Neutral,0.0
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,Amazon,Negative,Positive,0.4199
Don't buy this product.,0,Amazon,Negative,Neutral,0.0
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,Amazon,Negative,Negative,-0.4023
The sound quality is good and functionality is awesome.,1,Amazon,Positive,Positive,0.7906
"I have this phone and it is a thorn in my side, I really abhor it.",0,Amazon,Negative,Negative,-0.5095
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,Amazon,Negative,Negative,-0.4019
Incredible!.,1,Amazon,Positive,Neutral,0.0
Design Flaw?.,0,Amazon,Negative,Neutral,0.0
Great phone!.,1,Amazon,Positive,Positive,0.6588
Waste of 13 bucks.,0,Amazon,Negative,Negative,-0.4215
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,Amazon,Negative,Negative,-0.4497
The replacement died in a few weeks.,0,Amazon,Negative,Negative,-0.5574
Any ring tone..Overall good phone to buy..,1,Amazon,Positive,Positive,0.4404
Lately they have been extremely nice and helpful on the phone.,1,Amazon,Positive,Positive,0.7316
I have had problems wit hit dropping signal and more.,0,Amazon,Negative,Negative,-0.4019
Not impressed.,0,Amazon,Negative,Negative,-0.3724
"Light weight, I hardly notice it is there.",1,Amazon,Positive,Neutral,0.0
You'll love how thin it is.,1,Amazon,Positive,Positive,0.6369
Bad Choice.,0,Amazon,Negative,Negative,-0.5423
The pleather case doesn't fit.,0,Amazon,Negative,Negative,-0.2755
"useless phone, simply deaf.",0,Amazon,Negative,Negative,-0.4215
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,Amazon,Positive,Positive,0.4767
All in all I think it was a good investment.,1,Amazon,Positive,Positive,0.4404
It makes very strange ticking noises before it ends the call.,0,Amazon,Negative,Negative,-0.2716
The best electronics of the available FM Transmitters.,1,Amazon,Positive,Positive,0.6369
Battery lasts only a few hours.,0,Amazon,Negative,Neutral,0.0
"great headset, very impressed - H500.",1,Amazon,Positive,Positive,0.8173
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,Amazon,Positive,Neutral,0.0
I've had this for nearly 2 years and it has worked great for me.,1,Amazon,Positive,Positive,0.6249
Good transmit audio.,1,Amazon,Positive,Positive,0.4404
We are sending it back.,0,Amazon,Negative,Neutral,0.0
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,Amazon,Negative,Positive,0.1326
"If you hate earbugs, avoid this phone by all means.",0,Amazon,Negative,Negative,-0.7096
Great price also!,1,Amazon,Positive,Positive,0.6588
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,Amazon,Positive,Negative,-0.296
fast service.,1,Amazon,Positive,Neutral,0.0
I would highly recommend this.,1,Amazon,Positive,Positive,0.4201
I would recommend this.,1,Amazon,Positive,Positive,0.3612
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,Amazon,Negative,Positive,0.1002
WORST PHONE EVER.,0,Amazon,Negative,Negative,-0.6249
I'm still infatuated with this phone.,1,Amazon,Positive,Positive,0.0516
Freezes frequently4.,0,Amazon,Negative,Neutral,-0.0258
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,Amazon,Negative,Negative,-0.6697
"Simple, lightweight and great fit.",1,Amazon,Positive,Positive,0.765
"All in all, I'd expected a better consumer experience from Motorola.",0,Amazon,Negative,Positive,0.4404
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,Amazon,Negative,Negative,-0.5423
These are certainly very comfortable and functionality is decent.,1,Amazon,Positive,Positive,0.7178
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,Amazon,Positive,Positive,0.2755
I'm a bit disappointed.,0,Amazon,Negative,Negative,-0.4767
"I have had this phone for over a year now, and I will tell you, its not that great.",0,Amazon,Negative,Negative,-0.5096
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,Amazon,Negative,Neutral,0.0
The battery is completely useless to me.,0,Amazon,Negative,Negative,-0.4754
What a big waste of time.,0,Amazon,Negative,Negative,-0.4215
Don't waste your $$$ on this one.,0,Amazon,Negative,Positive,0.3252
Great sound and service.,1,Amazon,Positive,Positive,0.6249
Really pleased with this product so far.,1,Amazon,Positive,Positive,0.4927
One of my favorite purchases ever.,1,Amazon,Positive,Positive,0.4588
best bluetooth on the market.,1,Amazon,Positive,Positive,0.6369
Authentic leather with nice shine and comfort .I recommend you this case !!,1,Amazon,Positive,Positive,0.8118
I was very excited to get this headset because I thought it was really cute.,1,Amazon,Positive,Positive,0.7172
Do not make the same mistake as me.,0,Amazon,Negative,Negative,-0.34
Big Disappointment with calendar sync.,0,Amazon,Negative,Negative,-0.5106
the phone was unusable and was not new.,0,Amazon,Negative,Neutral,0.0
Worst Customer Service Ever.,0,Amazon,Negative,Negative,-0.6249
"No additional ear gels provided, and no instructions whatsoever.",0,Amazon,Negative,Negative,-0.5267
It defeats the purpose of a bluetooth headset.,0,Amazon,Negative,Negative,-0.3182
Worth every penny.,1,Amazon,Positive,Positive,0.2263
Excellent wallet type phone case.,1,Amazon,Positive,Positive,0.5719
Nice headphones for the price and they work great!,1,Amazon,Positive,Positive,0.8016
Internet is excrutiatingly slow.,0,Amazon,Negative,Neutral,0.0
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,Amazon,Positive,Positive,0.7774
"It's fits like a glove and is strong, secure, and durable.",1,Amazon,Positive,Positive,0.802
O my gosh the best phone I have ever had.,1,Amazon,Positive,Positive,0.6369
It's very attractive and appears to be of good quality.,1,Amazon,Positive,Positive,0.7264
I love all the features and form factor.,1,Amazon,Positive,Positive,0.6369
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,Amazon,Negative,Positive,0.5106
poor quality and service.,0,Amazon,Negative,Negative,-0.4767
"The cable looks so thin and flimsy, it is scary.",0,Amazon,Negative,Negative,-0.4939
Great Earpiece.,1,Amazon,Positive,Positive,0.6249
Excellent hands free tool.,1,Amazon,Positive,Positive,0.7906
Great for using with your home stereo.,1,Amazon,Positive,Positive,0.6249
Good product - incredible value.,1,Amazon,Positive,Positive,0.6801
Only had this a month but it's worked flawlessly so far.,1,Amazon,Positive,Positive,0.296
Works great.,1,Amazon,Positive,Positive,0.6249
Absolutel junk.,0,Amazon,Negative,Neutral,0.0
THAT one didn't work either.,0,Amazon,Negative,Neutral,0.0
Battery life is real good.,1,Amazon,Positive,Positive,0.4404
Returned 8 hours later.,0,Amazon,Negative,Neutral,0.0
It's a great item.,1,Amazon,Positive,Positive,0.6249
Don't waste your money!.,0,Amazon,Negative,Positive,0.3867
Love this headset!,1,Amazon,Positive,Positive,0.6696
"Not only will it drain your player, but may also potentially fry it.",0,Amazon,Negative,Neutral,0.0
Worked perfectly!,1,Amazon,Positive,Positive,0.6696
Unreliable - I'm giving up.,0,Amazon,Negative,Positive,0.34
I gave it 5 stars because of the sound quality.,1,Amazon,Positive,Neutral,0.0
Avoid this one if you can.,0,Amazon,Negative,Negative,-0.296
Reversible plug works great.,1,Amazon,Positive,Positive,0.6249
I wasted my little money with this earpiece.,0,Amazon,Negative,Negative,-0.4939
Very good phone.,1,Amazon,Positive,Positive,0.4927
"Best of all is the rotating feature, very helpful.",1,Amazon,Positive,Positive,0.807
Comfort for our whole family.,1,Amazon,Positive,Positive,0.3612
"Good product, good seller.",1,Amazon,Positive,Positive,0.7003
I love this bluetooth!,1,Amazon,Positive,Positive,0.6696
"First of all, it doesn't wear well.",0,Amazon,Negative,Negative,-0.2057
I am very impressed with this headset from Plantronics.,1,Amazon,Positive,Positive,0.5256
I got it because it was so small and adorable.,1,Amazon,Positive,Positive,0.5367
Great phone!.,1,Amazon,Positive,Positive,0.6588
I wouldn't recommend buying this product.,0,Amazon,Negative,Negative,-0.2755
Piece of Junk.,0,Amazon,Negative,Neutral,0.0
Poorly contstruct hinge.,0,Amazon,Negative,Neutral,0.0
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,Amazon,Positive,Positive,0.8155
Great Phone.,1,Amazon,Positive,Positive,0.6249
Don't buy it.,0,Amazon,Negative,Neutral,0.0
Excellent Phone.,1,Amazon,Positive,Positive,0.5719
DO NOT PURCHASE THIS PHONE.,0,Amazon,Negative,Neutral,0.0
The voice recognition thru the handset is excellent.,1,Amazon,Positive,Positive,0.5719
This is hands down the best phone I've ever had.,1,Amazon,Positive,Positive,0.6369
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,Amazon,Positive,Negative,-0.3612
This one works and was priced right.,1,Amazon,Positive,Neutral,0.0
Customer service was terrible.,0,Amazon,Negative,Negative,-0.4767
Battery life still not long enough in Motorola Razor V3i.,0,Amazon,Negative,Neutral,0.0
Sending it back.,0,Amazon,Negative,Neutral,0.0
Now I know that I made a wise decision.,1,Amazon,Positive,Positive,0.4767
Someone shouldve invented this sooner.,1,Amazon,Positive,Neutral,0.0
Good price.,1,Amazon,Positive,Positive,0.4404
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,Amazon,Positive,Positive,0.8074
I received it quickly and it works great!!,1,Amazon,Positive,Positive,0.6892
Has been working great.,1,Amazon,Positive,Positive,0.6249
"As many people complained, I found this headset's microphone was very weak.",0,Amazon,Negative,Negative,-0.7089
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,Amazon,Negative,Positive,0.4404
They do not care about the consumer one bit.,0,Amazon,Negative,Negative,-0.3875
"This is a good battery, and it got here really fast.",1,Amazon,Positive,Positive,0.4404
The instruction manual is lacking.,0,Amazon,Negative,Neutral,0.0
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,Amazon,Positive,Neutral,0.0258
Phone now holds charge like it did when it was new.,1,Amazon,Positive,Positive,0.3612
The battery is unreliable as well as the service use antena.,0,Amazon,Negative,Positive,0.2732
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,Amazon,Negative,Negative,-0.7178
We have gotten a lot of compliments on it.,1,Amazon,Positive,Positive,0.4019
This is definitely a must have if your state does not allow cell phone usage while driving.,1,Amazon,Positive,Positive,0.2579
I want my money back.,0,Amazon,Negative,Positive,0.0772
I love this device.,1,Amazon,Positive,Positive,0.6369
I am also very happy with the price.,1,Amazon,Positive,Positive,0.6115
I ordered this product first and was unhappy with it immediately.,0,Amazon,Negative,Negative,-0.4215
The Ngage is still lacking in earbuds.,0,Amazon,Negative,Neutral,0.0
I was able to do voice dialing in the car with no problem.,1,Amazon,Positive,Positive,0.3089
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,Amazon,Negative,Neutral,0.0
"good item, low price.",1,Amazon,Positive,Positive,0.2023
"However-the riingtones are not the best, and neither are the games.",0,Amazon,Negative,Negative,-0.5216
The plug did not work very well.,0,Amazon,Negative,Negative,-0.2572
AMAZON SUCKS.,0,Amazon,Negative,Negative,-0.2023
Rip off---- Over charge shipping.,0,Amazon,Negative,Neutral,0.0
VERY comfortable.,1,Amazon,Positive,Positive,0.6515
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,Amazon,Positive,Positive,0.5267
The reception is excellent!,1,Amazon,Positive,Positive,0.6114
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,Amazon,Positive,Positive,0.6597
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,Amazon,Positive,Positive,0.6128
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,Amazon,Negative,Neutral,0.0
Obviously there is a problem with the adhesive.,0,Amazon,Negative,Negative,-0.4019
Very disappointing.,0,Amazon,Negative,Negative,-0.5413
"It was an inexpensive piece, but I would still have expected better quality.",0,Amazon,Negative,Positive,0.5927
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,Amazon,Negative,Negative,-0.101
Excellent sound quality.,1,Amazon,Positive,Positive,0.5719
Was not happy.,0,Amazon,Negative,Negative,-0.4585
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,Amazon,Negative,Negative,-0.6607
New Battery works great in phone.,1,Amazon,Positive,Positive,0.6249
Worst customer service.,0,Amazon,Negative,Negative,-0.6249
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,Amazon,Positive,Positive,0.6588
Reception is terrible and full of static.,0,Amazon,Negative,Negative,-0.4767
Good audio quality.,1,Amazon,Positive,Positive,0.4404
This little device has transformed my organizational capability and made my life a whole lot easier.,1,Amazon,Positive,Positive,0.4215
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,Amazon,Negative,Negative,-0.3182
Were JERKS on the phone.,0,Amazon,Negative,Negative,-0.4278
Works like a charm.. Works as advertised.,1,Amazon,Positive,Positive,0.6369
"Comfortable, Nice Range, Good Battery Life.",1,Amazon,Positive,Positive,0.8402
Their network coverage in Los Angeles is horrible.,0,Amazon,Negative,Negative,-0.5423
Excellent starter wireless headset.,0,Amazon,Negative,Positive,0.5719
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,Amazon,Negative,Positive,0.6249
The only thing that I think could improve is the sound leaks out from the headset.,0,Amazon,Negative,Positive,0.4404
"First off the reception sucks, I have never had more than 2 bars, ever.",0,Amazon,Negative,Negative,-0.3612
